编号,图片文件名,metadata文件名,是否有对应metadata,是否在auto_compose_plan_0100_v2.csv中,是否重复编号,系列,稀有度,material_pattern,legendary_accent,是否通过规则校验,是否建议保留,是否需要人工复查,备注
NRA-0001,NRA_0001_TokenPawn_B05_VAR_01_UNCLAIMED.png,NRA_0001_TokenPawn_B05_VAR_01_UNCLAIMED.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0002,NRA_0002_SideBRecords_B01_VAR_08_LAST_COPY.png,NRA_0002_SideBRecords_B01_VAR_08_LAST_COPY.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0003,NRA_0003_SideBRecords_B04_VAR_01_STORE_CREDIT.png,NRA_0003_SideBRecords_B04_VAR_01_STORE_CREDIT.json,是,是,否,Side B Records,Rare,,PROP_CROWN_GOLD_01,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Rare]
NRA-0004,NRA_0004_NightOwlVideo_B08_VAR_02_CHECKED_OUT.png,NRA_0004_NightOwlVideo_B08_VAR_02_CHECKED_OUT.json,是,是,否,Night Owl Video,Common,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Common]
NRA-0005,NRA_0005_MidnightDiner_B02_VAR_04_CLOSED.png,NRA_0005_MidnightDiner_B02_VAR_04_CLOSED.json,是,是,否,Midnight Diner,Uncommon,MAT_TRANSPARENT_RECEIPT_01,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Uncommon]
NRA-0006,NRA_0006_NightOwlVideo_B02_VAR_07_NO_REFUNDS.png,NRA_0006_NightOwlVideo_B02_VAR_07_NO_REFUNDS.json,是,是,否,Night Owl Video,Common,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Common]
NRA-0007,NRA_0007_Lucky8GasMotel_B02_VAR_05_NO_VACANCY.png,NRA_0007_Lucky8GasMotel_B02_VAR_05_NO_VACANCY.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0008,NRA_0008_MidnightDiner_B01_VAR_08_CLOSED.png,NRA_0008_MidnightDiner_B01_VAR_08_CLOSED.json,是,是,否,Midnight Diner,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Uncommon]
NRA-0009,NRA_0009_MidnightDiner_B01_VAR_04_CLOSED.png,NRA_0009_MidnightDiner_B01_VAR_04_CLOSED.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0010,NRA_0010_SideBRecords_B07_VAR_04_LAST_COPY.png,NRA_0010_SideBRecords_B07_VAR_04_LAST_COPY.json,是,是,否,Side B Records,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Uncommon]
NRA-0011,NRA_0011_NightOwlVideo_B06_VAR_01_NO_REFUNDS.png,NRA_0011_NightOwlVideo_B06_VAR_01_NO_REFUNDS.json,是,是,否,Night Owl Video,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0012,NRA_0012_SideBRecords_B08_VAR_01_LAST_COPY.png,NRA_0012_SideBRecords_B08_VAR_01_LAST_COPY.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0013,NRA_0013_SideBRecords_B07_VAR_03_LAST_COPY.png,NRA_0013_SideBRecords_B07_VAR_03_LAST_COPY.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0014,NRA_0014_NightOwlVideo_B02_VAR_04_OVERDUE.png,NRA_0014_NightOwlVideo_B02_VAR_04_OVERDUE.json,是,是,否,Night Owl Video,Common,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Common]
NRA-0015,NRA_0015_SideBRecords_B02_VAR_11_LAST_COPY.png,NRA_0015_SideBRecords_B02_VAR_11_LAST_COPY.json,是,是,否,Side B Records,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Uncommon]
NRA-0016,NRA_0016_TokenPawn_B01_VAR_07_CLAIM_CLOSED.png,NRA_0016_TokenPawn_B01_VAR_07_CLAIM_CLOSED.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0017,NRA_0017_TokenPawn_B01_VAR_01_PAWN_HOLD.png,NRA_0017_TokenPawn_B01_VAR_01_PAWN_HOLD.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0018,NRA_0018_NightOwlVideo_B08_VAR_03_CHECKED_OUT.png,NRA_0018_NightOwlVideo_B08_VAR_03_CHECKED_OUT.json,是,是,否,Night Owl Video,Rare,,PROP_HOLO_SEAL_01,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Rare]
NRA-0019,NRA_0019_NightOwlVideo_B02_VAR_01_NO_REFUNDS.png,NRA_0019_NightOwlVideo_B02_VAR_01_NO_REFUNDS.json,是,是,否,Night Owl Video,Uncommon,PAT_HOLO_GRID_01,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0020,NRA_0020_MidnightDiner_B03_VAR_07_LAST_ORDER.png,NRA_0020_MidnightDiner_B03_VAR_07_LAST_ORDER.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0021,NRA_0021_Lucky8GasMotel_B08_VAR_04_CLOSED.png,NRA_0021_Lucky8GasMotel_B08_VAR_04_CLOSED.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0022,NRA_0022_SunsetMart_B04_VAR_07_CLOSED.png,NRA_0022_SunsetMart_B04_VAR_07_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0023,NRA_0023_SunsetMart_B07_VAR_03_CLOSED.png,NRA_0023_SunsetMart_B07_VAR_03_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0024,NRA_0024_SunsetMart_B04_VAR_01_ZERO_SUPPLY_GOLD.png,NRA_0024_SunsetMart_B04_VAR_01_ZERO_SUPPLY_GOLD.json,是,是,否,Sunset Mart,Legendary,PAT_LEOPARD_01,OVERLAY_RAINBOW_FOIL_01,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Legendary]
NRA-0025,NRA_0025_SideBRecords_B01_VAR_02_STORE_CREDIT.png,NRA_0025_SideBRecords_B01_VAR_02_STORE_CREDIT.json,是,是,否,Side B Records,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Uncommon]
NRA-0026,NRA_0026_NightOwlVideo_B05_VAR_03_NO_REFUNDS.png,NRA_0026_NightOwlVideo_B05_VAR_03_NO_REFUNDS.json,是,是,否,Night Owl Video,Common,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Common]
NRA-0027,NRA_0027_SunsetMart_B07_VAR_01_CLOSED.png,NRA_0027_SunsetMart_B07_VAR_01_CLOSED.json,是,是,否,Sunset Mart,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Uncommon]
NRA-0028,NRA_0028_SideBRecords_B06_VAR_07_STORE_CREDIT.png,NRA_0028_SideBRecords_B06_VAR_07_STORE_CREDIT.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0029,NRA_0029_SideBRecords_B04_VAR_08_LAST_COPY.png,NRA_0029_SideBRecords_B04_VAR_08_LAST_COPY.json,是,是,否,Side B Records,Rare,,PROP_CROWN_CHROME_01,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Rare]
NRA-0030,NRA_0030_SunsetMart_B01_VAR_03_FINAL_SALE.png,NRA_0030_SunsetMart_B01_VAR_03_FINAL_SALE.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0031,NRA_0031_Lucky8GasMotel_B06_VAR_04_ROOM_PAID.png,NRA_0031_Lucky8GasMotel_B06_VAR_04_ROOM_PAID.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0032,NRA_0032_MidnightDiner_B08_VAR_03_LAST_ORDER.png,NRA_0032_MidnightDiner_B08_VAR_03_LAST_ORDER.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0033,NRA_0033_Lucky8GasMotel_B02_VAR_07_ROOM_PAID.png,NRA_0033_Lucky8GasMotel_B02_VAR_07_ROOM_PAID.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0034,NRA_0034_SunsetMart_B04_VAR_06_FINAL_SALE.png,NRA_0034_SunsetMart_B04_VAR_06_FINAL_SALE.json,是,是,否,Sunset Mart,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Uncommon]
NRA-0035,NRA_0035_Lucky8GasMotel_B04_VAR_04_NO_VACANCY.png,NRA_0035_Lucky8GasMotel_B04_VAR_04_NO_VACANCY.json,是,是,否,Lucky 8 Gas & Motel,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Uncommon]
NRA-0036,NRA_0036_SideBRecords_B02_VAR_03_LAST_COPY.png,NRA_0036_SideBRecords_B02_VAR_03_LAST_COPY.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0037,NRA_0037_Lucky8GasMotel_B01_VAR_06_GOLD_SEAL_GOLD.png,NRA_0037_Lucky8GasMotel_B01_VAR_06_GOLD_SEAL_GOLD.json,是,是,否,Lucky 8 Gas & Motel,Legendary,MAT_CHROME_EDGE_01,OVERLAY_CRYSTAL_SPARK_01;PROP_HOLO_SEAL_01,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Legendary]
NRA-0038,NRA_0038_Lucky8GasMotel_B06_VAR_02_CLOSED.png,NRA_0038_Lucky8GasMotel_B06_VAR_02_CLOSED.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0039,NRA_0039_MidnightDiner_B05_VAR_06_LAST_ORDER.png,NRA_0039_MidnightDiner_B05_VAR_06_LAST_ORDER.json,是,是,否,Midnight Diner,Rare,PAT_SNAKESKIN_01,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Rare]
NRA-0040,NRA_0040_TokenPawn_B05_VAR_05_UNCLAIMED.png,NRA_0040_TokenPawn_B05_VAR_05_UNCLAIMED.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0041,NRA_0041_MidnightDiner_B06_VAR_01_NO_REFUNDS.png,NRA_0041_MidnightDiner_B06_VAR_01_NO_REFUNDS.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0042,NRA_0042_SunsetMart_B04_VAR_06_CLOSED.png,NRA_0042_SunsetMart_B04_VAR_06_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0043,NRA_0043_MidnightDiner_B06_VAR_06_LAST_ORDER.png,NRA_0043_MidnightDiner_B06_VAR_06_LAST_ORDER.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0044,NRA_0044_SunsetMart_B01_VAR_03_CLOSED.png,NRA_0044_SunsetMart_B01_VAR_03_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0045,NRA_0045_SideBRecords_B04_VAR_03_LAST_COPY.png,NRA_0045_SideBRecords_B04_VAR_03_LAST_COPY.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0046,NRA_0046_TokenPawn_B03_VAR_06_PAWN_HOLD.png,NRA_0046_TokenPawn_B03_VAR_06_PAWN_HOLD.json,是,是,否,Token Pawn,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Uncommon]
NRA-0047,NRA_0047_NightOwlVideo_B05_VAR_04_DO_NOT_OPEN.png,NRA_0047_NightOwlVideo_B05_VAR_04_DO_NOT_OPEN.json,是,是,否,Night Owl Video,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0048,NRA_0048_NightOwlVideo_B08_VAR_01_CHECKED_OUT.png,NRA_0048_NightOwlVideo_B08_VAR_01_CHECKED_OUT.json,是,是,否,Night Owl Video,Uncommon,MAT_FROSTED_RECEIPT_01,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0049,NRA_0049_TokenPawn_B03_VAR_04_CLAIM_CLOSED.png,NRA_0049_TokenPawn_B03_VAR_04_CLAIM_CLOSED.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0050,NRA_0050_Lucky8GasMotel_B04_VAR_02_ROOM_PAID.png,NRA_0050_Lucky8GasMotel_B04_VAR_02_ROOM_PAID.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0051,NRA_0051_TokenPawn_B03_VAR_07_VAULTED_GOLD.png,NRA_0051_TokenPawn_B03_VAR_07_VAULTED_GOLD.json,是,是,否,Token Pawn,Ultra Rare,PAT_SNAKESKIN_01,OVERLAY_RAINBOW_FOIL_01;PROP_CROWN_GOLD_01,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Ultra Rare]
NRA-0052,NRA_0052_TokenPawn_B06_VAR_03_UNCLAIMED.png,NRA_0052_TokenPawn_B06_VAR_03_UNCLAIMED.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0053,NRA_0053_Lucky8GasMotel_B04_VAR_05_CLOSED.png,NRA_0053_Lucky8GasMotel_B04_VAR_05_CLOSED.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0054,NRA_0054_MidnightDiner_B03_VAR_05_CLOSED.png,NRA_0054_MidnightDiner_B03_VAR_05_CLOSED.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0055,NRA_0055_Lucky8GasMotel_B07_VAR_05_ROOM_PAID.png,NRA_0055_Lucky8GasMotel_B07_VAR_05_ROOM_PAID.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0056,NRA_0056_TokenPawn_B07_VAR_02_PAWN_HOLD.png,NRA_0056_TokenPawn_B07_VAR_02_PAWN_HOLD.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0057,NRA_0057_Lucky8GasMotel_B06_VAR_03_PAID_CASH.png,NRA_0057_Lucky8GasMotel_B06_VAR_03_PAID_CASH.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0058,NRA_0058_Lucky8GasMotel_B01_VAR_06_NO_VACANCY.png,NRA_0058_Lucky8GasMotel_B01_VAR_06_NO_VACANCY.json,是,是,否,Lucky 8 Gas & Motel,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Uncommon]
NRA-0059,NRA_0059_TokenPawn_B02_VAR_08_CLAIM_CLOSED.png,NRA_0059_TokenPawn_B02_VAR_08_CLAIM_CLOSED.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0060,NRA_0060_NightOwlVideo_B01_VAR_05_OVERDUE.png,NRA_0060_NightOwlVideo_B01_VAR_05_OVERDUE.json,是,是,否,Night Owl Video,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0061,NRA_0061_TokenPawn_B06_VAR_05_PAWN_HOLD.png,NRA_0061_TokenPawn_B06_VAR_05_PAWN_HOLD.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0062,NRA_0062_SideBRecords_B01_VAR_05_STORE_CREDIT.png,NRA_0062_SideBRecords_B01_VAR_05_STORE_CREDIT.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0063,NRA_0063_SideBRecords_B01_VAR_07_FINAL_SALE.png,NRA_0063_SideBRecords_B01_VAR_07_FINAL_SALE.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0064,NRA_0064_NightOwlVideo_B05_VAR_04_DO_NOT_OPEN.png,NRA_0064_NightOwlVideo_B05_VAR_04_DO_NOT_OPEN.json,是,是,否,Night Owl Video,Uncommon,MAT_GLOW_INK_01,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0065,NRA_0065_NightOwlVideo_B06_VAR_08_NO_REFUNDS.png,NRA_0065_NightOwlVideo_B06_VAR_08_NO_REFUNDS.json,是,是,否,Night Owl Video,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0066,NRA_0066_SideBRecords_B06_VAR_10_STORE_CREDIT.png,NRA_0066_SideBRecords_B06_VAR_10_STORE_CREDIT.json,是,是,否,Side B Records,Common,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Common]
NRA-0067,NRA_0067_TokenPawn_B02_VAR_02_CLAIM_CLOSED.png,NRA_0067_TokenPawn_B02_VAR_02_CLAIM_CLOSED.json,是,是,否,Token Pawn,Uncommon,PAT_GOLD_FLECK_01,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Uncommon]
NRA-0068,NRA_0068_MidnightDiner_B03_VAR_03_NO_REFUNDS.png,NRA_0068_MidnightDiner_B03_VAR_03_NO_REFUNDS.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0069,NRA_0069_MidnightDiner_B04_VAR_05_CLOSED.png,NRA_0069_MidnightDiner_B04_VAR_05_CLOSED.json,是,是,否,Midnight Diner,Rare,MAT_GLOW_INK_01,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Rare]
NRA-0070,NRA_0070_TokenPawn_B06_VAR_08_PAWN_HOLD.png,NRA_0070_TokenPawn_B06_VAR_08_PAWN_HOLD.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0071,NRA_0071_SunsetMart_B03_VAR_02_FINAL_SALE.png,NRA_0071_SunsetMart_B03_VAR_02_FINAL_SALE.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0072,NRA_0072_MidnightDiner_B02_VAR_12_ARCHIVED_FOREVER_GOLD.png,NRA_0072_MidnightDiner_B02_VAR_12_ARCHIVED_FOREVER_GOLD.json,是,是,否,Midnight Diner,Legendary,MAT_SILVER_FOIL_RECEIPT_01,OVERLAY_CRYSTAL_SPARK_01;PROP_CROWN_CHROME_01,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Legendary]
NRA-0073,NRA_0073_SunsetMart_B05_VAR_02_CLOSED.png,NRA_0073_SunsetMart_B05_VAR_02_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0074,NRA_0074_SunsetMart_B06_VAR_02_NO_REFUNDS.png,NRA_0074_SunsetMart_B06_VAR_02_NO_REFUNDS.json,是,是,否,Sunset Mart,Rare,,PROP_CROWN_GOLD_01,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Rare]
NRA-0075,NRA_0075_MidnightDiner_B06_VAR_10_NO_REFUNDS.png,NRA_0075_MidnightDiner_B06_VAR_10_NO_REFUNDS.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
NRA-0076,NRA_0076_NightOwlVideo_B02_VAR_09_DO_NOT_OPEN.png,NRA_0076_NightOwlVideo_B02_VAR_09_DO_NOT_OPEN.json,是,是,否,Night Owl Video,Rare,,PROP_HOLO_SEAL_01,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Rare]
NRA-0077,NRA_0077_Lucky8GasMotel_B05_VAR_05_PAID_CASH.png,NRA_0077_Lucky8GasMotel_B05_VAR_05_PAID_CASH.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0078,NRA_0078_Lucky8GasMotel_B03_VAR_05_CLOSED.png,NRA_0078_Lucky8GasMotel_B03_VAR_05_CLOSED.json,是,是,否,Lucky 8 Gas & Motel,Uncommon,MAT_TRANSPARENT_RECEIPT_01,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Uncommon]
NRA-0079,NRA_0079_MidnightDiner_B02_VAR_10_AFTER_HOURS.png,NRA_0079_MidnightDiner_B02_VAR_10_AFTER_HOURS.json,是,是,否,Midnight Diner,Uncommon,MAT_GLOW_INK_01,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Uncommon]
NRA-0080,NRA_0080_MidnightDiner_B03_VAR_08_NO_REFUNDS.png,NRA_0080_MidnightDiner_B03_VAR_08_NO_REFUNDS.json,是,是,否,Midnight Diner,Uncommon,MAT_GLOW_INK_01,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Uncommon]
NRA-0081,NRA_0081_SideBRecords_B06_VAR_07_STORE_CREDIT.png,NRA_0081_SideBRecords_B06_VAR_07_STORE_CREDIT.json,是,是,否,Side B Records,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Uncommon]
NRA-0082,NRA_0082_Lucky8GasMotel_B02_VAR_05_ROOM_PAID.png,NRA_0082_Lucky8GasMotel_B02_VAR_05_ROOM_PAID.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0083,NRA_0083_SunsetMart_B01_VAR_02_CLOSED.png,NRA_0083_SunsetMart_B01_VAR_02_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0084,NRA_0084_MidnightDiner_B03_VAR_03_LAST_ORDER.png,NRA_0084_MidnightDiner_B03_VAR_03_LAST_ORDER.json,是,是,否,Midnight Diner,Rare,,PROP_DIAMOND_CLIP_01,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Rare]
NRA-0085,NRA_0085_SideBRecords_B03_VAR_02_GOLD_SEAL_GOLD.png,NRA_0085_SideBRecords_B03_VAR_02_GOLD_SEAL_GOLD.json,是,是,否,Side B Records,Legendary,MAT_GLASS_ARCHIVE_01,OVERLAY_RAINBOW_FOIL_01,是,待人工筛选,是,Batch 0100 v2 - Side B Records [Legendary]
NRA-0086,NRA_0086_SunsetMart_B01_VAR_04_NO_REFUNDS.png,NRA_0086_SunsetMart_B01_VAR_04_NO_REFUNDS.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0087,NRA_0087_NightOwlVideo_B05_VAR_03_DO_NOT_OPEN.png,NRA_0087_NightOwlVideo_B05_VAR_03_DO_NOT_OPEN.json,是,是,否,Night Owl Video,Common,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Common]
NRA-0088,NRA_0088_Lucky8GasMotel_B01_VAR_01_PAID_CASH.png,NRA_0088_Lucky8GasMotel_B01_VAR_01_PAID_CASH.json,是,是,否,Lucky 8 Gas & Motel,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Uncommon]
NRA-0089,NRA_0089_NightOwlVideo_B02_VAR_03_NO_REFUNDS.png,NRA_0089_NightOwlVideo_B02_VAR_03_NO_REFUNDS.json,是,是,否,Night Owl Video,Common,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Common]
NRA-0090,NRA_0090_NightOwlVideo_B07_VAR_04_CHECKED_OUT.png,NRA_0090_NightOwlVideo_B07_VAR_04_CHECKED_OUT.json,是,是,否,Night Owl Video,Uncommon,,,是,待人工筛选,是,Batch 0100 v2 - Night Owl Video [Uncommon]
NRA-0091,NRA_0091_SunsetMart_B02_VAR_11_NO_REFUNDS.png,NRA_0091_SunsetMart_B02_VAR_11_NO_REFUNDS.json,是,是,否,Sunset Mart,Rare,PAT_HOLO_GRID_01,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Rare]
NRA-0092,NRA_0092_TokenPawn_B02_VAR_06_UNCLAIMED.png,NRA_0092_TokenPawn_B02_VAR_06_UNCLAIMED.json,是,是,否,Token Pawn,Common,,,是,待人工筛选,是,Batch 0100 v2 - Token Pawn [Common]
NRA-0093,NRA_0093_SunsetMart_B02_VAR_12_CLOSED.png,NRA_0093_SunsetMart_B02_VAR_12_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0094,NRA_0094_Lucky8GasMotel_B03_VAR_04_PAID_CASH.png,NRA_0094_Lucky8GasMotel_B03_VAR_04_PAID_CASH.json,是,是,否,Lucky 8 Gas & Motel,Common,,,是,待人工筛选,是,Batch 0100 v2 - Lucky 8 Gas & Motel [Common]
NRA-0095,NRA_0095_SunsetMart_B07_VAR_01_CLOSED.png,NRA_0095_SunsetMart_B07_VAR_01_CLOSED.json,是,是,否,Sunset Mart,Common,,,是,待人工筛选,是,Batch 0100 v2 - Sunset Mart [Common]
NRA-0096,NRA_0096_MidnightDiner_B04_VAR_03_CLOSED.png,NRA_0096_MidnightDiner_B04_VAR_03_CLOSED.json,是,是,否,Midnight Diner,Common,,,是,待人工筛选,是,Batch 0100 v2 - Midnight Diner [Common]
