trait_id,asset_type,allowed_series,allowed_rarities,minimum_usage,maximum_usage,target_usage,exclusive,conflicts_with,notes
B01_VAR_01,base_templates,Lucky 8 Gas & Motel|Token Pawn,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B01_VAR_02,base_templates,Side B Records|Sunset Mart,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B01_VAR_03,base_templates,Sunset Mart,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B01_VAR_04,base_templates,Midnight Diner|Sunset Mart,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B01_VAR_05,base_templates,Night Owl Video|Side B Records,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B01_VAR_06,base_templates,Lucky 8 Gas & Motel,Legendary|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B01_VAR_07,base_templates,Side B Records|Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B01_VAR_08,base_templates,Midnight Diner|Side B Records,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_01,base_templates,Night Owl Video,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_02,base_templates,Token Pawn,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_03,base_templates,Night Owl Video|Side B Records,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_04,base_templates,Midnight Diner|Night Owl Video,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_05,base_templates,Lucky 8 Gas & Motel,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_06,base_templates,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_07,base_templates,Lucky 8 Gas & Motel|Night Owl Video,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_08,base_templates,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_09,base_templates,Night Owl Video,Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_10,base_templates,Midnight Diner|Night Owl Video,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_11,base_templates,Side B Records|Sunset Mart,Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B02_VAR_12,base_templates,Midnight Diner|Sunset Mart,Common|Legendary,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_01,base_templates,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_02,base_templates,Side B Records|Sunset Mart,Common|Legendary,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_03,base_templates,Midnight Diner,Common|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_04,base_templates,Lucky 8 Gas & Motel|Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_05,base_templates,Lucky 8 Gas & Motel|Midnight Diner,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_06,base_templates,Token Pawn,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_07,base_templates,Midnight Diner|Token Pawn,Common|Ultra Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B03_VAR_08,base_templates,Midnight Diner,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B04_VAR_01,base_templates,Side B Records|Sunset Mart,Legendary|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B04_VAR_02,base_templates,Lucky 8 Gas & Motel,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B04_VAR_03,base_templates,Midnight Diner|Side B Records,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B04_VAR_04,base_templates,Lucky 8 Gas & Motel,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
