token_id,image_filename,metadata_filename,series,rarity,base_template,material_pattern,damage,prop_1,prop_2,stamp,handwritten,overlay,legendary_accent,combination_fingerprint,image_sha256,metadata_sha256,approval_status,notes
1,NRA_0001.png,NRA_0001.json,Side B Records,Common,B01_VAR_08,,DMG_FOLD_02,,,STAMP_LAST_COPY,NOTE_TRACK_07,OVERLAY_SCAN_NOISE_02,,3d4950110b0ca437273a8191ab9bb40c85360f5448f83933c8b9220b634b3238,97d39d1a4483130cb5e9523183e54992d667aaee55c08fbb00348dca132a1f0b,b4f24ec16a2de5205ed14a455682737576c2fc8e66fe71894f87f3e7ffeccedc,approved,Manually approved 333 production stress batch.
2,NRA_0002.png,NRA_0002.json,Token Pawn,Common,B05_VAR_01,,DMG_EDGE_WEAR_01,,,STAMP_CLAIM_CLOSED,NOTE_CASE_14,OVERLAY_DUST_01,,790c60fbe40c5d93266a380922d496bfa90c1fd09757da044dbdfb385e6cc5d7,47e84cee5dc64abe84553fb123961ee93868e86e9f900cfcc21be11318983c13,df6c2afbc68bd009ef16197197571af3b4435c814c091dbde607a5810fa09af2,approved,Manually approved 333 production stress batch.
3,NRA_0003.png,NRA_0003.json,Sunset Mart,Common,B01_VAR_04,,DMG_FOLD_01,,,STAMP_CLOSED,NOTE_LAST_SHIFT,OVERLAY_SCAN_NOISE_02,,a033f01461dac2451f266f1e377b3c8e7b74b2cd9ce54106fd6d588fdf5cf1c6,e88e56669a367ba47b864361f4c5933f34fe21d436fb3ce7bb2ef7b78c41127e,17d543f0eb38d597b9e460678a89025ecbf72151e035db900df437ae3f2aca92,approved,Manually approved 333 production stress batch.
4,NRA_0004.png,NRA_0004.json,Sunset Mart,Common,B07_VAR_03,,DMG_WATER_STAIN_01,,,STAMP_CLOSED,NOTE_REGISTER_2,OVERLAY_SCAN_NOISE_02,,8609bb49a3a281ddf0372b59f57afc86724eef3e07494b898b85d4bece693c12,b7a9c91ed3b9c9e31a0b0d559735b56c391a2dee7569ea28116fe784f9b0e2e8,ab9ff8f9ce6ef362db93df5e7d2aeec529ce65943bc66e77066f86b21aac5d95,approved,Manually approved 333 production stress batch.
5,NRA_0005.png,NRA_0005.json,Side B Records,Common,B02_VAR_03,,DMG_FOLD_03,,,STAMP_STORE_CREDIT,NOTE_LAST_COPY,OVERLAY_FADED_INK_01,,8f0a962b405d2b8d42f1eaeb6d4efd82e9cbf047863ae93a58af6df4754adb0d,04f3a2f8f18a1e91d841b86af66a64cbf93918090d508bdcc135b0c46f2b49e2,be5fa7a46daf89295f9d970f62d2c421619fba1b9f8caa5913d6b0ccc164d659,approved,Manually approved 333 production stress batch.
6,NRA_0006.png,NRA_0006.json,Midnight Diner,Common,B06_VAR_06,,DMG_FOLD_01,,,STAMP_LAST_ORDER,NOTE_LAST_ORDER,OVERLAY_FILM_GRAIN_02,,9fea485de018040b5f556b28ff819ab7427b7b4917bf5828807eb62c4de2b9f2,f865ae65fc130eaea14ee2bd3285e2cd918a87204a890076f304455d164616a7,2895184b694e195451a68e778b698e1749e5156d9fe50ba017824d527111a808,approved,Manually approved 333 production stress batch.
7,NRA_0007.png,NRA_0007.json,Sunset Mart,Common,B01_VAR_02,,DMG_COFFEE_RING_03,,,STAMP_CLOSED,NOTE_AISLE_3,OVERLAY_FILM_GRAIN_01,,f14445d158e605bdf2b019ee24b6b7c9a581463578b3cc8fb428673319efdc93,dcb7e257f0b9907afd23e97d5a3197399f3bc02889f7700dc2ce813742208c54,3a760394122933bfa30aa87c31b86835a8d21ab9153d8bcc4db4c2b838d08042,approved,Manually approved 333 production stress batch.
8,NRA_0008.png,NRA_0008.json,Side B Records,Common,B04_VAR_03,,DMG_EDGE_WEAR_02,,,STAMP_STORE_CREDIT,NOTE_LAST_COPY,OVERLAY_FILM_GRAIN_01,,f86018942c2e6312802430fa45212f061a3f1b98b2f3427be046c0bd998fb72e,8f93bb3cc36119aa5bb61fe7fd247b95e676e2d2a760f2f44e83ed24bac5cdba,5f80e2add868bc987544bf392186331d60bc678145ece6acb9f5e24ad2e93a5d,approved,Manually approved 333 production stress batch.
9,NRA_0009.png,NRA_0009.json,Token Pawn,Common,B05_VAR_01,,DMG_DUST_SPECKS_01,,,STAMP_PAWN_HOLD,NOTE_30_DAYS,OVERLAY_ARCHIVE_YELLOWING_01,,2ae06762f84cde887ced1365250ac7c6b801a12e720fb92caae0d0de96ef9328,9eb792990337b0575b6a99d18e001f27684871deef2aa36d70b7b0efa2b54d47,9799786cbd293e74c817b3de9e4ce70c9481308e84243474e4bb5de87a21f406,approved,Manually approved 333 production stress batch.
10,NRA_0010.png,NRA_0010.json,Token Pawn,Common,B06_VAR_05,,DMG_EDGE_WEAR_01,,,STAMP_UNCLAIMED,NOTE_CLAIM_BY_5,OVERLAY_DUST_01,,f676e277b836a0c48b0ac3ccecedc1c35b766698b5396ea53e7d7a1317615150,5bd61eb9c0c0691de25806ebedb864f267bf7e72dd7178960e081f8791dd6248,82e0dcad72a98ac824db5ed72b40816cde3a020d77eaad5809f341af5086d4ce,approved,Manually approved 333 production stress batch.
11,NRA_0011.png,NRA_0011.json,Side B Records,Common,B04_VAR_03,,DMG_CORNER_CURL_01,,,STAMP_STORE_CREDIT,NOTE_TRACK_07,OVERLAY_FILM_GRAIN_01,,55c9c62313fe24aace1fb7678248d8633f69c2774bcbe2f3d6e89c94f9bcee52,05f442b8555b11b0c41c0f05b249863716ff6d8bfa7ef4bfeff7d63c5a477503,1061b870568efec2087fcc14d8a5c283ce4f1344e89a1072a4454165c59cd154,approved,Manually approved 333 production stress batch.
12,NRA_0012.png,NRA_0012.json,Lucky 8 Gas & Motel,Common,B02_VAR_05,,DMG_EDGE_WEAR_01,,,STAMP_PAID_CASH,NOTE_EXIT_22,OVERLAY_SOFT_VIGNETTE_01,,012b9f07ee5ca50e7889fac850f0404b83412bbfaec923933d7da9e6ab542e3a,61e53ff6f9d2565183568ee618dd18dd133dc9fab0ae1645569e12fb54e9a6c9,97edf1d11edc73eb92b12d0f1e59014acfdc7a36e4b7e1c0811dee0f84372a2b,approved,Manually approved 333 production stress batch.
13,NRA_0013.png,NRA_0013.json,Side B Records,Common,B06_VAR_07,,DMG_EDGE_WEAR_02,,,STAMP_LAST_COPY,NOTE_TRACK_07,OVERLAY_FILM_GRAIN_02,,80ba5daaee0193b4d0df3a4c5344e646a97907f0f28820b52564c4517c48901a,e6d4a3ace0aad1db995e73a54c9b64a9e9211da6feffbb4d06f441130e9c5b89,892e44100a0d2512ae37a9e3cf7e4da3ac7749782ed550c5a75e5f98135651c7,approved,Manually approved 333 production stress batch.
14,NRA_0014.png,NRA_0014.json,Night Owl Video,Common,B08_VAR_02,,DMG_FOLD_03,,,STAMP_CHECKED_OUT,NOTE_RETURNED_EMPTY,OVERLAY_DUST_01,,cf4dd86dd860ec7a9aaa9ca0d261b94f834e913aa19573453e8bd1b60485b6ea,f0e8890e74503a8c4230414c1c5555bdf756871f7ecfd0ca69429c86a9b2ebf8,079d4edb5bb1db02c5d8ed49de72d50d6cb101bc60b3e969dcadb77034669c6d,approved,Manually approved 333 production stress batch.
15,NRA_0015.png,NRA_0015.json,Midnight Diner,Common,B06_VAR_06,,DMG_FOLD_03,,,STAMP_LAST_ORDER,NOTE_BOOTH_4,OVERLAY_FILM_GRAIN_02,,3780bead43abe0816f4d12ee5e34281e8f8623146915bbdc36f6199702311367,6fcfaf552e713d9bb80fd6d5cd6c61957af91b6c24ae3371dd1d14a4287dc2f5,bb152e82058e708ffcd1884fb82a5f41e0a97f82ea49b9a594c55613fb91218f,approved,Manually approved 333 production stress batch.
16,NRA_0016.png,NRA_0016.json,Midnight Diner,Common,B03_VAR_03,,DMG_FOLD_03,,,STAMP_CLOSED,NOTE_TABLE_6,OVERLAY_ARCHIVE_YELLOWING_01,,52707f1cff4b5e306e49361094ad504c6103f88a751e10289265f13bcc9f391f,4ea6ba87c1c30ef2766ecf719d8187ae1e73b7bf9ea0ed922dec6c3e618fae8a,d1e030aefd30815ad0ab73eb86e77574fe2fd2337dae948da30f9723ab98f72b,approved,Manually approved 333 production stress batch.
17,NRA_0017.png,NRA_0017.json,Night Owl Video,Common,B02_VAR_07,,DMG_FOLD_02,,,STAMP_NO_REFUNDS,NOTE_TAPE_12,OVERLAY_FILM_GRAIN_02,,1eab8050a2a0c52a1c9099321b37c064f89c450c07b3268787d67b51cf9f3600,ec7552c2bc9a697a601061964d72c0b96b522f44cfdb2781c41beee13d76f219,3a25982c9e8afcd564eeebe20c239ea0e981501697d5a5006f7804f99653ff1f,approved,Manually approved 333 production stress batch.
18,NRA_0018.png,NRA_0018.json,Token Pawn,Common,B06_VAR_03,,DMG_FOLD_03,,,STAMP_UNCLAIMED,NOTE_UNCLAIMED,OVERLAY_DUST_01,,b99d49c5ac4b461b1e584c039624f9e6a0af723465bdc272e6c3bff1e4d167d8,f06f631812659e5ae7898f44d5b7e9ee0a0e9df26fbe3ca6559535b0343b5b1e,739f0a608170c1a01c47c9f3c0870aad90c43376aee475baf8766e5cd722b89b,approved,Manually approved 333 production stress batch.
19,NRA_0019.png,NRA_0019.json,Midnight Diner,Common,B03_VAR_07,,DMG_CORNER_CURL_01,,,STAMP_LAST_ORDER,NOTE_LAST_ORDER,OVERLAY_FADED_INK_01,,2db96537b4556b889d897edd2efbb44daceffae3b1a5d9c9c806e6079cee8c27,4e559d483751f6a037d379e6730af21770d2bcf8dac618b6803c9347cc51c7da,93fd388f9c02475a7eb44fcfea3c026c71f0c3cb4dfbb15f7ee01ed92359cc38,approved,Manually approved 333 production stress batch.
20,NRA_0020.png,NRA_0020.json,Lucky 8 Gas & Motel,Common,B05_VAR_05,,DMG_CORNER_CURL_01,,,STAMP_ROOM_PAID,NOTE_NO_VACANCY,OVERLAY_SOFT_VIGNETTE_01,,156d4b308759c2c128cb25b6c15cb8922c2cf8aac479cc21e591ea2dd30390ae,e61d57360b8622c95fac3494d996d098d38b19d4a7493496abb4667fcfcf4089,1ebd542c93d31db4618f409aac9464d565e93203e73d7f75c32b97842105bc8e,approved,Manually approved 333 production stress batch.
21,NRA_0021.png,NRA_0021.json,Lucky 8 Gas & Motel,Common,B03_VAR_04,,DMG_WATER_STAIN_03,,,STAMP_CLOSED,NOTE_1138PM,OVERLAY_SOFT_VIGNETTE_01,,b4a26f149ce6b5417ced2d5005ab571ec49f326a3aaf4062e0ea39efddadbb79,7a9af7dcbde9bc03ee4b1c4c97c6c74e4a46e4e2ac8448db8053c2ad9a26bd16,b18416c13d70e2e9112fcd8d7e2abe8d96ba3556ad0a160ab6a4c363b63e2923,approved,Manually approved 333 production stress batch.
