token_id,image_filename,metadata_filename,series,rarity,combination_fingerprint,image_sha256,metadata_sha256,approval_status,changed_in_1of1_update
1,NRA_0001.png,NRA_0001.json,Midnight Diner,Common,55f9c56931dbd4b155d1d8c155fc2dee9b10e8b09217a6f9a916008c453daf53,acfddd560887b6a913c61df9ded513520e91377b93dd97c97edfa03ef9f2bcf2,bdb305fcdf0cbd73f446d145bcd99a4b8ddc74dbc78d488a31e2804bb8ae2d87,approved,no
2,NRA_0002.png,NRA_0002.json,Midnight Diner,Common,11d71093321507bd9314f4914fae2956b4ebcbd9b1b410d7ee2304345d32d067,237b546b700e8c8c76f65ae8570967ac91cae2bdb04913f241fb7ccac84d7f40,2a1e4682fd3080382677a6500fc1b06f2ac7086997c151e37decf6b923de7377,approved,no
3,NRA_0003.png,NRA_0003.json,Night Owl Video,Common,a24257fcc4ff5964cc611ead5e9b849e5ad9b2a533ea629c5970b45c721f4d95,d1bee644007f030e41f8ac6d90680ddfb31b52f88ae81d1ee88a6acebd087efc,2e3cad4b310008d7d87aab84127d323506e1db6aacbd943dadcf7a20b590fad1,approved,no
4,NRA_0004.png,NRA_0004.json,Side B Records,Common,6fcaac74369eb269c94489c112bd7501170f623b9c1f2223b360894d32be4b02,fbcd55edde7c3f37ff1a02fa802a2c249580b96f8d203630aae2cc1d42daf0cd,3b4d7b0af9af974f8c19e0a8b173e48fa40a3c0d46dfb49f45a5e533e0dc9879,approved,no
5,NRA_0005.png,NRA_0005.json,Token Pawn,1/1,f19cb67ca17a2a59978d49bf6c6be3dc2e14d4e749395c0bd1e817958a9be220,f65dc730103c3561e4774a54451a5f932b007b121792830e1f8480c0089ad6e7,a8eaf1905a2a10c39eb073f0950895a74440b79caf94ed3fae5ba6e7c9b2ed0b,approved,yes
6,NRA_0006.png,NRA_0006.json,Token Pawn,Common,682956523ec319db8aae76fc92f57b8ac78412d7adc025006cc7f16f76bbef56,a8c679b3f56bcf086da15d2e5c3e0084edf62333006991f8469fe15160e69814,ac0e5d5e4c033157c35c10952c38d73072814ad66ab9a6f8538ea2743e6d0bfb,approved,no
7,NRA_0007.png,NRA_0007.json,Token Pawn,Common,ac877d7a862f737d0869bd6d868d66acf0c1e20ff5ff72c6fbb453707bfedde8,3e7a22926b4aa63e7b1b98266ae7aa622a579ba398f9d99cbbfcbdcbbc53bdea,a042be807c2edd32e50664aa9d436a74059a9476a988a61ea3b7d7e97ae33fae,approved,no
8,NRA_0008.png,NRA_0008.json,Midnight Diner,Common,102a7347bc978259c08f75f20a048ced9bf910d86f69e80dff549a45c9c4421e,4c60313f64735dffc194bd2af587f9bdedc31e1afc18090c265e35c6baad4cf7,0d8a0ebdc002cfb41f00aa165734d5f5821d2d400e14c1e1b0ef32cca1621a36,approved,no
9,NRA_0009.png,NRA_0009.json,Night Owl Video,Common,576c5413b0017cbd92693b626370819f53efb689f2f1f9fc48e6766fac8aee95,45b235af84ceff0cce4a3cdd1eab2d4e67ddf94abbf31239c73c85a6ae7e3fff,e5f7518a67b7a594108dc6702b6843da50c6d04ceefcf4bec64610edbe05f994,approved,no
10,NRA_0010.png,NRA_0010.json,Side B Records,Common,97cdc29894efba2b5f5ab8c3157fbf7f27b11557b6021a6bad58846a0698463c,48de7f9e8d61556d75b888f8fb2ad95c4221d2ff29ca85420a4a82a13c26a530,693353beac567c61970abea1d9292cf31116acfb663ad22cda9d1ab54079889b,approved,no
11,NRA_0011.png,NRA_0011.json,Side B Records,Common,5f09b0dc799848f33839ab5c7efc175c8e0d77738643c127870bcbb59ce673e3,43ce82e6190c00b919fe6e3912656301d0574e22e51c669a55b5a1ccee32a361,08aae1e44b8d3129b4e8a33bcc4de908f69b62e6d43a5b3f8f789af2d649f212,approved,no
12,NRA_0012.png,NRA_0012.json,Pine Hollow General Store,Common,d08f6ae27d9365807b59108f73ec71ad5d67e29636074279a7cba7a68a9e3612,d04611774091b0c53448481264dd22f8f8dfb5435d263aeacc4cddff47644069,0588d2c2c8b6985d540d73d7ed6f6db0a2045d8df989ab0ff8e775a8272a3411,approved,no
13,NRA_0013.png,NRA_0013.json,Night Owl Video,Common,4fbdde40a0cddd51c259d29ef0c7505fcc11e513ac941a76670c3e4a06447fce,2b0d46efbba7450917887c8c8af1590515390cdfae3fd7d428059ca2bdf440aa,40ec35de192c715c45e62cd2f0b09e929205d2a10d5cfbb6d7f0456589e3d11d,approved,no
14,NRA_0014.png,NRA_0014.json,Token Pawn,Common,849ecc35f05a4e7df25e5bc3dbc7451baf554eb65c962b493efd57b6022b0c52,25a31f6a05316de036bfcb44c70a1f9b56f7f943ce1023fb5ca9845e060a2445,e1665ffea4414e10a927c9daa3287b7096dc216dcc633bfd66489a6ac3880483,approved,no
15,NRA_0015.png,NRA_0015.json,Night Owl Video,Common,8a04f47e60ad56c9d22bb0f6a354f309bb386c4b64546f929156e63c4512ec85,2634b60e1e72d6909e2fb085875548b12014235fd4f841eacd06054493d95a4a,732c617a7ce403a44b0b8c69ebf0259e6994c57691c6fa7dce3b5d671c8117e9,approved,no
16,NRA_0016.png,NRA_0016.json,Night Owl Video,Common,47ef378c4de279583bad66af89eca46f4290c6285da13b36be2bcc697ce4a098,b6bac234a315636644c2f16dfa06a00ec2467e08ae374ec70ff897eba338f150,9d15fb756e30fb4dc3693c78b82eaeb6a37c872e9e281d765bd31d622a329fc1,approved,no
17,NRA_0017.png,NRA_0017.json,Token Pawn,Common,3d7c9e3eddc8f7d8c2d6919323d432a03399ff1e0b749c780f7f278b05aa6bbd,47b45fc0b28c9d46e7d2c782ce90af48cca7ab9ea4fab3676b75792163d6ed05,a25872710ad4e88c125d7ffce544312867c735d90df2292fd323d3528369f960,approved,no
18,NRA_0018.png,NRA_0018.json,Side B Records,Common,78f238369642e0a7bd514eaf04dff1cec62cf9365e980c32f9989bc0de106932,5082cebd47359517a9d50aa1b96ba3aaf70c1c80a0387be172a0b5003b2eb9f9,b920b44027d1a4c9764ecad90399f17776184e226e8440c1dd800f2f6033ff6a,approved,no
19,NRA_0019.png,NRA_0019.json,Midnight Diner,Common,bcd101cb1f5e373b86bca6b9f6df29a5a8570bd6d317a7a0a8c4e427fa8efa56,13001fe6653f62b21eb181caed0d89fa88eb103244c32d598f1364d2dcc7f20b,f0b937d282a3bb0434b981e863eef9513c0bf6d44f9893e06cde534880c0e35b,approved,no
20,NRA_0020.png,NRA_0020.json,Night Owl Video,Common,3bc75c9b7cff49e1398cacc255c4311a573a7a5e86ea0dd9071588c59bfa3392,7f62fd13b99ec0c9e1fa22b42f7f170336e3cb9681dfebc43926e23d46590aa7,6691896c17d6a6ed1f6299c4ee02970484007f7a26be10a53277c3a69e4e4f73,approved,no
21,NRA_0021.png,NRA_0021.json,Side B Records,Common,93aab983084070acda4c75c51baf5bb0d6be9db95531a610c5696ec7e720f7c5,66367b70fe34a58872b801031d6f2e71d2ea5ac05b491431b33dbca188bdd319,cf957209d8ce194396484e126ef26ba81eec1bd2ceb40c8d95179dbad6a522da,approved,no
22,NRA_0022.png,NRA_0022.json,Token Pawn,Common,5674bdf2ad9839f17e02dbf68bd64e509308d3c92c4e0843febdee48d66194df,72490a254822f29615e2ee41934a87cb0efeb79ed9061451946d740a330950ff,74702379876ce5a860ddf9a8a74249d34052343761f21d4759b16eda43bf8e83,approved,no
23,NRA_0023.png,NRA_0023.json,Side B Records,Common,983843a877aed639446b96abf6725646c43c447f6fd17cff0ece8c773c54b35c,382b08de36b269420f29aecb33323e2103715628ec9654b118ac984cdfe88744,25c1c63fccfa26b20eae9002cd91352cb7aca7b1ce59344624041188d049185e,approved,no
24,NRA_0024.png,NRA_0024.json,Night Owl Video,Common,4fd3a2e4abb90d324651c451a9389c92e437955c76d8324532f388e29054a146,b17e676c9c6fb16267c3d71a2b062fb53e6810dddf2c34b4bfd09c34eb0e2696,9da8cf20d6b6581feb88513e3071ece247a599c6414793c6f7dc74fdf5b0d947,approved,no
25,NRA_0025.png,NRA_0025.json,Midnight Diner,Common,f13a029df53dfaa17f08420275906450a28667ef25b90dedd59101adc0e22631,fecb8ff4d0c5aeb26a1191fcc20ea5a495df5c86f7d31a4af8d972f4b26a551b,32c86ad35d7fee30740aeb885ac96ea94c76d8d03ade630fb1bb0ea3b54209fa,approved,no
26,NRA_0026.png,NRA_0026.json,Night Owl Video,Common,6539485465e8bc49c1f0e8a1978976a6f24f3311362cfa09df764ace8670c5be,7a0a34c2d5d1ede5cefcc52bf9fc30e3bccfdde545e46a220cf07493a3642bd4,1aff8b5871b03da1d2b5d7da50fdb3188be54669bcfdda19d392b1fd9308ef92,approved,no
27,NRA_0027.png,NRA_0027.json,Token Pawn,Common,0e1cb1a787c2e91a565ff42f873508b9e66c37deb1c996512ae4e5552a697080,ca6226e603f678654179c9c6af9e760433abd16cc54b0e3534cadc2d5bc057d2,525a9e82a8638f2102672af6df891818589d653e7019c2c50772482e9e89c0da,approved,no
